"Sr. No.","State","work","work_id","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"6899","Assam","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18026/2025-2026/251148","CHIRANG(Deputy Commissioner Chirang_IDA)","JOYANTA BASUMATARY","KOKRAJHAR (ST)","25-May-2026","ASSAM ENTERPRISE","Payment Success","750000"
"6900","Punjab","Construction of buildings for multi-gym","WS/MP18311/2025-2026/219447","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","11-Jun-2026","Jagtar Singh Sarpanch","Payment Success","57218"
"6901","Punjab","Construction of buildings for multi-gym","WS/MP18311/2025-2026/219447","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","19-May-2026","MS Milkhi Ram BKO","Payment Success","36040"
"6902","Punjab","Construction of buildings for multi-gym","WS/MP18311/2025-2026/219447","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","19-May-2026","MS Milkhi Ram BKO","Payment Success","36040"
"6903","Maharashtra","Construction of boundary walls of existing public and community buildings","WS/MP18112/2025-2026/189005","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","BALWANT BASWANT WANKHADE","AMRAVATI(SC)","18-May-2026","SANKET ASHOKRAO BOKE","Payment Success","891074"
"6904","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18107/2025-2026/255792","RATLAM(District Collector Ratlam_IDA)","ANITA NAGARSINGH CHOUHAN","RATLAM(ST)","18-May-2026","ADHYAKSH GRAMKOSH SFC DHOLKA","Payment Success","500000"
"6905","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18107/2025-2026/255789","RATLAM(District Collector Ratlam_IDA)","ANITA NAGARSINGH CHOUHAN","RATLAM(ST)","18-May-2026","ADHYAKSH GRAMKOSH SFC TITARI","Payment Success","500000"
"6906","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18107/2025-2026/255791","RATLAM(District Collector Ratlam_IDA)","ANITA NAGARSINGH CHOUHAN","RATLAM(ST)","25-May-2026","ADHYAKSH GRAMKOSH SFC MORDA","Payment Success","500000"
"6907","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18107/2025-2026/255790","RATLAM(District Collector Ratlam_IDA)","ANITA NAGARSINGH CHOUHAN","RATLAM(ST)","11-Aug-2026","ADHYAKSH GRAMKOSH SFC PANCHED","Payment Success","500000"
"6908","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP870/2025-2026/209595","Tirupathur(District Collector Tirupathur_IDA)","D M Kathir Anand","VELLORE","10-Aug-2026","GANGADURAI CONTRACTOR","Payment Success","585781"
"6909","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP870/2025-2026/200523","Tirupathur(District Collector Tirupathur_IDA)","D M Kathir Anand","VELLORE","23-May-2026","GANGADURAI CONTRACTOR","Payment Success","1097655"
"6910","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP870/2025-2026/209595","Tirupathur(District Collector Tirupathur_IDA)","D M Kathir Anand","VELLORE","23-May-2026","GANGADURAI CONTRACTOR","Payment Success","512911"
"6911","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP360/2026-2027/211304","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Anil Firojiya","UJJAIN(SC)","16-May-2026","Gp Khalana","Payment Success","300000"
"6912","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP360/2025-2026/258265","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Anil Firojiya","UJJAIN(SC)","16-May-2026","Gp Dhulmahu","Payment Success","500000"
"6913","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP853/2025-2026/166036","Malda(DISTRICT MAGISTRATE MALDA_IDA)","Khagen Murmu","MALDAHA UTTAR","15-May-2026","RAHAMAN CONSTRUCTION","Payment Success","1399456"
"6914","Madhya Pradesh","Purchase of mobile water tankers","WS/MP640/2026-2027/273067","SEONI(District Collector Seoni_IDA)","Faggan Singh Kulaste","MANDLA(ST)","15-Jun-2026","Maa Sharda Valding Work Shop","Payment Success","150000"
"6915","Telangana","Providing supply pipelines for drinking water","WS/MP18389/2026-2027/161132","JAYASHANKAR BHUPALAPALLY(DISTRICT COLLECTOR JAYASHANKAR BHUPALPALLY_IDA)","KADIYAM KAVYA","WARANGEL(SC)","20-May-2026","Maraneni Upender Rao","Payment Success","199222"
"6916","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18202/2025-2026/220797","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DHARMENDRA YADAV","AZAMGARH","18-May-2026","Paras Nath Yadav","Payment Success","1311151"
"6917","Punjab","Street lights","WS/MP18311/2025-2026/219463","Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida)","MALVINDER SINGH KANG","ANANDPUR SAHIB","13-May-2026","Punjab Energy Development Agency","Payment Success","293025"
"6918","Chandigarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18047/2025-2026/214613","CHANDIGARH(DEPUTY COMMISSIONER ZILLA PARISHAD CHANDIGARH_IDA)","MANISH TEWARI","CHANDIGARH","03-Aug-2026","Ms The Kurali Coop L C Society Ltd","Payment Success","1076477"
"6919","Chandigarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18047/2025-2026/214613","CHANDIGARH(DEPUTY COMMISSIONER ZILLA PARISHAD CHANDIGARH_IDA)","MANISH TEWARI","CHANDIGARH","12-Jun-2026","Ms The Kurali Coop L C Society Ltd","Payment Success","1174802"
"6920","Andhra Pradesh","Installing community drinking water plants","WS/MP526/2025-2026/191639","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Y S Avinash Reddy","KADAPA","16-May-2026","CHAVVA RUKMANGADHA REDDY","Payment Success","275219"
"6921","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18062/2025-2026/254786","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","JAI PARKASH","HISAR","28-Jul-2026","Sanjay BKO","Payment Success","151670"
"6922","Odisha","Construction of boundary walls of existing public and community buildings","WS/MP18310/2025-2026/180847","BHADRAK(DISTRICT COLLECTOR BHADRAK_IDA)","AVIMANYU SETHI","BHADRAK(SC)","21-May-2026","SUBASH CHANDRA PRADHAN","Payment Success","300000"
"6923","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18001/2025-2026/255465","Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA)","GM Harish Balayogi","AMALAPURAM(SC)","17-Jul-2026","K V SIVARAMAKRISHNA","Payment Success","497269"
"6924","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP478/2025-2026/243380","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","08-Jul-2026","BEERENDRA RANA","Payment Success","772846"
"6925","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP478/2025-2026/243364","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","18-Jun-2026","BEERENDRA RANA","Payment Success","391942"
"6926","Uttarakhand","Development of public parks","WS/MP478/2025-2026/243370","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","18-Jun-2026","BEERENDRA RANA","Payment Success","399466"
"6927","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP478/2025-2026/243371","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","18-Jun-2026","BEERENDRA RANA","Payment Success","163928"
"6928","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP478/2025-2026/243378","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","23-May-2026","BEERENDRA RANA","Payment Success","416908"
"6929","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18054/2026-2027/251478","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","29-May-2026","SARPANCHSHRI SUNAK GRAM PANCHAYAT","Payment Success","150000"
"6930","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18054/2025-2026/251477","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","25-May-2026","SARPANCHSHRI SUNAK GRAM PANCHAYAT","Payment Success","100000"
"6931","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18054/2025-2026/251476","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","25-May-2026","SARPANCHSHRI SUNAK GRAM PANCHAYAT","Payment Success","150000"
"6932","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18054/2025-2026/251475","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","25-May-2026","SARPANCHSHRI SUNAK GRAM PANCHAYAT","Payment Success","100000"
"6933","Andhra Pradesh","Construction of community centers and community halls","WS/MP18003/2025-2026/223864","Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA)","AMBICA G LAKSHMINARAYANA VALMIKI","ANANTAPUR","03-Aug-2026","Harish Infra Projects","Payment Success","658450"
"6934","Andhra Pradesh","Construction of community centers and community halls","WS/MP18003/2024-2025/157509","Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA)","AMBICA G LAKSHMINARAYANA VALMIKI","ANANTAPUR","06-May-2026","Harish Infra Projects","Payment Success","2303986"
"6935","Andhra Pradesh","Construction of community centers and community halls","WS/MP18009/2025-2026/213922","Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA)","B K PARTHASARATHI","HINDUPUR","29-Jun-2026","Harish Infra Projects","Payment Success","2493361"
"6936","Andhra Pradesh","Construction of community centers and community halls","WS/MP18003/2025-2026/223865","Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA)","AMBICA G LAKSHMINARAYANA VALMIKI","ANANTAPUR","20-Jun-2026","Harish Infra Projects","Payment Success","313860"
"6937","Meghalaya","Construction of rooms and halls in school and colleges","WS/MP18309/2026-2027/236457","SOUTH GARO HILLS(DEPUTY COMMISSIONER BAGHMARA_IDA)","SALENG A SANGMA","TURA","05-Aug-2026","DOMINIC A SANGMA","Payment Success","150000"
"6938","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP428/2026-2027/275127","Kabeerdham(DISTRICT COLLECTOR KABIRDHAM)","Santosh Pandey","RAJNANDGAON","20-May-2026","GRAM PANCHAYAT BACHEDI","Payment Success","250000"
"6939","Punjab","Construction of community centers and community halls","WS/MP381/2025-2026/227985","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","06-May-2026","MITTAL BRICKS","Payment Success","60000"
"6940","Punjab","Construction of community centers and community halls","WS/MP381/2025-2026/227984","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","06-May-2026","MITTAL BRICKS","Payment Success","35000"
"6941","Andhra Pradesh","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP526/2025-2026/217529","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Y S Avinash Reddy","KADAPA","16-May-2026","EDDULA CHANGAL REDDYGARI MAHESWARA REDDY","Payment Success","399992"
"6942","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18232/2026-2027/240893","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","HARENDRA SINGH MALIK","MUZAFFARNAGAR","04-May-2026","BLOCK DEVELOPMENT OFFICER","Payment Success","20104"
"6943","Punjab","Street lights","WS/MP18155/2025-2026/260966","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","05-May-2026","MAHAVIRINDUSTRIESDHURI","Payment Success","233080"
"6944","Punjab","Street lights","WS/MP18155/2025-2026/260965","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","05-May-2026","MAHAVIRINDUSTRIESDHURI","Payment Success","233080"
"6945","Madhya Pradesh","Construction of public staircase/ stair ghat for public convenience","WS/MP18101/2026-2027/244407","SAGAR(DISTRICT COLLECTOR SAGAR_IDA)","RAHUL SINGH LODHI","DAMOH","18-May-2026","Gram Panchayat Sujanpur","Payment Success","750000"
"6946","Karnataka","Construction of buildings for community cultural activities","WS/MP18082/2025-2026/191405","CHITRADURGA(DEPUTY COMMISSIONER CHITRADURGA_IDA)","GOVIND MAKTHAPPA KARJOL","CHITRADURGA(SC)","16-Jun-2026","HEMANTH KUMAR T","Payment Success","375000"
"6947","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP428/2026-2027/275135","Kabeerdham(DISTRICT COLLECTOR KABIRDHAM)","Santosh Pandey","RAJNANDGAON","20-May-2026","Gram Panchayat Kumhar Daniya","Payment Success","250000"
"6948","Delhi","Lighting of public spaces","WS/MP18399/2025-2026/215513","SOUTH(COMMISSIONER SOUTH)","Ramvir Singh Bidhuri","SOUTH DELHI","02-May-2026","AAKANKSHA SINGH","Payment Success","696725"
"6949","Delhi","Lighting of public spaces","WS/MP18399/2025-2026/215512","SOUTH(COMMISSIONER SOUTH)","Ramvir Singh Bidhuri","SOUTH DELHI","02-May-2026","AAKANKSHA SINGH","Payment Success","704321"
"6950","Delhi","Development of playfields and sports grounds","WS/MP18397/2025-2026/189799","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","791870"
"6951","Delhi","Development of playfields and sports grounds","WS/MP18397/2025-2026/189797","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","186225"
"6952","Delhi","Providing sports equipment, except consumable items","WS/MP18397/2025-2026/185217","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","690758"
"6953","Delhi","Development of playfields and sports grounds","WS/MP18397/2025-2026/189798","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","318304"
"6954","Delhi","Development of public parks","WS/MP18399/2025-2026/187234","SOUTH(COMMISSIONER SOUTH)","Ramvir Singh Bidhuri","SOUTH DELHI","19-Jun-2026","Swing Craft","Payment Success","124495"
"6955","Delhi","Development of playfields and sports grounds","WS/MP18397/2025-2026/189805","SOUTH(COMMISSIONER SOUTH)","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","318305"
"6956","Delhi","Development of playfields and sports grounds","WS/MP18397/2025-2026/189571","SOUTH(COMMISSIONER SOUTH)","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","124495"
"6957","Delhi","Development of public parks","WS/MP18399/2025-2026/187240","SOUTH(COMMISSIONER SOUTH)","Ramvir Singh Bidhuri","SOUTH DELHI","21-May-2026","Swing Craft","Payment Success","730139"
"6958","Delhi","Development of playfields and sports grounds","WS/MP18397/2025-2026/189809","SOUTH(COMMISSIONER SOUTH)","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","318305"
"6959","Delhi","Development of playfields and sports grounds","WS/MP18397/2025-2026/194995","SOUTH(COMMISSIONER SOUTH)","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","186225"
"6960","Delhi","Development of playfields and sports grounds","WS/MP18397/2025-2026/189807","SOUTH(COMMISSIONER SOUTH)","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","318305"
"6961","Delhi","Development of playfields and sports grounds","WS/MP18397/2025-2026/189801","SOUTH(COMMISSIONER SOUTH)","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","318305"
"6962","Delhi","Development of playfields and sports grounds","WS/MP18397/2025-2026/189570","SOUTH(COMMISSIONER SOUTH)","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","792490"
"6963","Delhi","Development of playfields and sports grounds","WS/MP18397/2025-2026/189575","SOUTH(COMMISSIONER SOUTH)","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","124495"
"6964","Delhi","Development of playfields and sports grounds","WS/MP18397/2025-2026/189844","SOUTH(COMMISSIONER SOUTH)","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","318305"
"6965","Delhi","Development of public parks","WS/MP18399/2025-2026/157764","SOUTH(COMMISSIONER SOUTH)","Ramvir Singh Bidhuri","SOUTH DELHI","21-May-2026","Swing Craft","Payment Success","431860"
"6966","Delhi","Development of public parks","WS/MP18395/2025-2026/182657","NORTH WEST(COMMISSIONER NORTH WEST)","Praveen Khandelwal","CHANDINI CHOWK","19-May-2026","Swing Craft","Payment Success","304849"
"6967","Delhi","Providing sports equipment, except consumable items","WS/MP18395/2025-2026/186424","NORTH(COMMISSIONER MCD NORTH_IDA)","Praveen Khandelwal","CHANDINI CHOWK","19-May-2026","Swing Craft","Payment Success","666471"
"6968","Delhi","Development of public parks","WS/MP18395/2025-2026/182658","NORTH(COMMISSIONER MCD NORTH_IDA)","Praveen Khandelwal","CHANDINI CHOWK","19-May-2026","Swing Craft","Payment Success","304850"
"6969","Delhi","Providing sports equipment, except consumable items","WS/MP18395/2025-2026/186425","NORTH(COMMISSIONER MCD NORTH_IDA)","Praveen Khandelwal","CHANDINI CHOWK","19-May-2026","Swing Craft","Payment Success","666470"
"6970","Delhi","Fitting of Sitting RCC Benches in Public Places","WS/MP18397/2025-2026/197934","SOUTH(COMMISSIONER SOUTH)","Bansuri Swaraj","NEW DELHI","14-May-2026","Manju Enterprises","Payment Success","96000"
"6971","Punjab","Construction of bus-sheds or bus-stops","WS/MP18314/2025-2026/227231","SANGRUR(DEPUTY COMMISSIONER SANGRUR_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","24-Jun-2026","vishwakarma Surting Store","Payment Success","16000"
"6972","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2025-2026/192489","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","12-May-2026","jaswanth singh","Payment Success","15756"
